ticker,name,underlying_asset,underlying_ticker,leverage,direction
AALG,Leverage Shares 2x Long AAL Daily ETF,American Airlines,AAL,2x,long
AAPB,GraniteShares 2x Long AAPL Daily ETF,Apple Inc,AAPL,2x,long
AAPD,Direxion Daily AAPL Bear 1X Shares,Apple Inc,AAPL,1x,short
AAPU,Direxion Daily AAPL Bull 2X Shares,Apple Inc,AAPL,2x,long
AAPW,Roundhill AAPL WeeklyPay ETF,Apple common shares,AAPL,1.2x,long
AAPX,T-REX 2X Long AAPL Daily Target ETF,Apple Inc,AAPL,2x,long
ABNG,Leverage Shares 2x Long ABNB Daily ETF,"Airbnb, Inc.",ABNB,2x,long
ADBG,Leverage Shares 2X Long ADBE Daily ETF,Adobe Inc.,ADBE,2x,long
AFRU,T-REX 2X Long AFRM Daily Target ETF,"Affirm Holdings, Inc",AFRM,2x,long
AGQ,ProShares Ultra Silver,Bloomberg Silver Subindex,BCOMSI,2x,long
AIBD,Direxion Daily AI and Big Data Bear 2X Shares,Solactive US AI & Big Data Index,,2x,short
AIBU,Direxion Daily AI and Big Data Bull 2X Shares,Solactive US AI & Big Data Index,,2x,long
ALBG,Leverage Shares 2X Long ALB Daily ETF,Albemarle Corp,ALB,2x,long
AMDD,Direxion Daily AMD Bear 1X Shares,"Advanced Micro Devices, Inc.",AMD,1x,short
AMDG,Leverage Shares 2X Long AMD Daily ETF,"Advanced Micro Devices, Inc",AMD,2x,long
AMDL,GraniteShares 2x Long AMD ETF,Advanced Micro Devices Inc,AMD,2x,long
AMDU,Defiance Leveraged Long + Income AMD ETF,Advanced Micro Devices Inc,AMD,1.5x,long
AMDW,AMD WeeklyPayâ¢ ETF,Advanced Micro Devices Inc,AMD,1.2x,long
AMUU,Direxion Daily AMD Bull 2X Shares ETF,"Advanced Micro Devices, Inc.",AMD,2x,long
AMYY,GRANITESHARES YIELDBOOST AMD ETF,"Advanced Micro Devices, Inc",AMD,variable,long
AMZD,Direxion Daily AMZN Bear 1X Shares,Amazon.com Inc,AMZN,1x,short
AMZU,Direxion Daily AMZN Bull 2X Shares,Amazon.com Inc,AMZN,2x,long
AMZW,AMZN WeeklyPayâ¢ ETF,Amazon.com Inc,AMZN,1.2x,long
AMZZ,GraniteShares 2x Long AMZN Daily ETF,Amazon.com Inc,AMZN,2x,long
ANEL,Defiance Daily Target 2x Long ANET ETF,"Arista Networks, Inc.",ANET,2x,long
APED,STKd 100% MSTR & 100% COIN ETF,Coinbase & Strategy,,2x,long
APLX,Tradr 2X Long APLD Daily ETF,Applied Digital Corporation,APLD,2x,long
APLZ,Tradr 2X Short APLD Daily ETF,Applied Digital Corporation,APLD,2x,short
APPX,Tradr 2X Long APP Daily ETF,AppLovin Corp.,APP,2x,long
ARCX,Tradr 2X Long ACHR Daily ETF,Archer Aviation Inc.,ACHR,2x,long
ARMG,Leverage Shares 2X Long ARM Daily ETF,,,2x,long
ARMU,T-REX 2X Long ARM Daily Target ETF,ARM Holdings PLC,ARM,2x,long
ARMW,Roundhill ARM WeeklyPay ETF,Arm Holdings plc,ARM,1.2x,long
ASMG,Leverage Shares 2X Long ASML Daily ETF,,,2x,long
ASTX,Tradr 2X Long ASTS Daily ETF,"AST SpaceMobile, Inc.",ASTS,2x,long
AURU,Tradr 2X Long AUR Daily ETF,"Aurora Innovation, Inc",AUR,2x,long
AVGG,Leverage Shares 2x Long AVGO Daily ETF,Broadcom Inc.,AVGO,2x,long
AVGU,GraniteShares 2x Long AVGO Daily ETF,Broadcom Inc.,AVGO,2x,long
AVGW,Roundhill AVGO WeeklyPay ETF,Broadcom Inc.,AVGO,1.2x,long
AVGX,Defiance Daily Target 2X Long AVGO ETF,,AVGO,2x,long
AVL,Dx Daily Avgo Bull 2X Shares,Broadcom Inc.,AVGO,2x,long
AVS,Dx Daily Avgo Bear 1X Shares,Broadcom Inc.,AVGO,1x,short
